time,cyklisté,chodci
Lidická B,,z centra,do centra
2020-06-05 08:00,197,497,6156,460
2020-06-05 09:00,197,497,6165,460
2020-06-05 10:00,197,497,6172,460
2020-06-05 11:00,197,497,6180,460
2020-06-05 12:00,197,497,6186,460
2020-06-05 13:00,197,497,6189,460
2020-06-05 14:00,197,497,6202,460
2020-06-05 15:00,197,497,6217,460
2020-06-05 16:00,197,497,6239,460
2020-06-05 17:00,197,497,6258,460
2020-06-05 18:00,197,497,6271,460
2020-06-05 19:00,197,497,6283,460
2020-06-05 20:00,197,497,6304,460
2020-06-05 21:00,197,497,6315,460
2020-06-05 22:00,197,497,6327,460
2020-06-05 23:00,197,497,6334,460
2020-06-06 00:00,197,497,6379,460
2020-06-06 01:00,197,497,6455,460
2020-06-06 02:00,197,497,6465,460
2020-06-06 03:00,197,497,6468,460
2020-06-06 04:00,197,497,6472,460
2020-06-06 05:00,197,497,6472,460
2020-06-06 06:00,197,497,6473,460
2020-06-06 07:00,197,497,6477,460
2020-06-06 08:00,197,497,6487,460
2020-06-06 09:00,197,497,6489,460
2020-06-06 10:00,197,497,6493,460
2020-06-06 11:00,197,497,6507,460
2020-06-06 12:00,197,497,6522,460
2020-06-06 13:00,197,497,6569,460
2020-06-06 14:00,197,497,6588,460
2020-06-06 15:00,197,497,6613,460
2020-06-06 16:00,197,497,6633,460
2020-06-06 17:00,197,497,6657,460
2020-06-06 18:00,197,497,6678,460
2020-06-06 19:00,197,497,6707,460
2020-06-06 20:00,197,497,6745,460
2020-06-06 21:00,197,497,6770,460
2020-06-06 22:00,197,497,6770,460
2020-06-06 23:00,197,497,6775,460
2020-06-07 00:00,197,497,6782,460
2020-06-07 01:00,197,497,6787,460
2020-06-07 02:00,197,497,6787,460
2020-06-07 03:00,197,497,6791,460
2020-06-07 11:00,197,497,6811,460
2020-06-07 12:00,197,497,6817,460
2020-06-07 13:00,197,497,6834,460
2020-06-07 14:00,197,497,6859,460
2020-06-07 15:00,197,497,6876,460
2020-06-07 16:00,197,497,6885,460
2020-06-07 17:00,197,497,6901,460
2020-06-07 18:00,197,497,6923,460
2020-06-07 19:00,197,497,6948,460
2020-06-07 20:00,197,497,6976,460
2020-06-07 21:00,197,497,6991,460
2020-06-07 22:00,197,497,6999,460
2020-06-07 23:00,197,497,7007,460
2020-06-08 00:00,197,497,7014,460
2020-06-08 01:00,197,497,7020,460
2020-06-08 02:00,197,497,7021,460
2020-06-08 03:00,197,497,7022,460
2020-06-08 04:00,197,497,7023,460
2020-06-08 05:00,197,497,7023,460
2020-06-08 06:00,197,497,7025,460
2020-06-08 07:00,197,497,7028,460
2020-06-08 08:00,197,497,7059,460
2020-06-08 09:00,197,497,7078,460
2020-06-08 10:00,197,497,7093,460
2020-06-08 11:00,197,497,7109,460
2020-06-08 12:00,197,497,7127,460
2020-06-08 13:00,197,497,7151,460
2020-06-08 14:00,197,497,7176,460
2020-06-08 15:00,197,497,7200,460
2020-06-08 16:00,197,497,7231,460
2020-06-08 17:00,197,497,7278,460
2020-06-08 18:00,197,497,7317,460
2020-06-08 19:00,197,497,7382,460
2020-06-08 20:00,197,497,7436,460
2020-06-08 21:00,197,497,7465,460
2020-06-08 22:00,197,497,7490,460
2020-06-08 23:00,197,497,7508,460
2020-06-09 00:00,197,497,7516,460
2020-06-09 01:00,197,497,7526,460
2020-06-09 02:00,197,497,7531,460
2020-06-09 03:00,197,497,7531,460
2020-06-09 04:00,197,497,7531,460
2020-06-09 05:00,197,497,7531,460
2020-06-09 06:00,197,497,7533,460
2020-06-09 07:00,197,497,7539,460
2020-06-09 08:00,197,497,7570,460
2020-06-09 09:00,197,497,7591,460
2020-06-09 10:00,197,497,7618,460
2020-06-09 11:00,197,497,7643,460
2020-06-09 12:00,197,497,7673,460
2020-06-09 13:00,197,497,7699,460
2020-06-09 14:00,197,497,7723,460
2020-06-09 15:00,197,497,7758,460
2020-06-09 16:00,197,497,7790,460
2020-06-09 17:00,197,497,7843,460
2020-06-09 18:00,197,497,7917,460
2020-06-09 19:00,197,497,8005,460
2020-06-09 20:00,197,497,8056,460
2020-06-09 21:00,197,497,8105,460
2020-06-09 22:00,197,497,8139,460
2020-06-09 23:00,197,497,8156,460
2020-06-10 00:00,197,497,8166,460
2020-06-10 01:00,197,497,8171,460
2020-06-10 02:00,197,497,8174,460
2020-06-10 03:00,197,497,8175,460
2020-06-10 04:00,197,497,8176,460
2020-06-10 05:00,197,497,8176,460
2020-06-10 06:00,197,497,8177,460
2020-06-10 07:00,197,497,8184,460
2020-06-10 08:00,197,497,8204,460
2020-06-10 10:00,197,497,8233,460
2020-06-10 11:00,197,497,8245,460
2020-06-10 12:00,197,497,8256,460
2020-06-10 13:00,197,497,8265,460
2020-06-10 14:00,197,497,8278,460
2020-06-10 15:00,197,497,8287,460
2020-06-10 16:00,197,497,8295,460
2020-06-10 17:00,197,497,8307,460
2020-06-10 18:00,197,497,8325,460
2020-06-10 19:00,197,497,8355,460
2020-06-10 20:00,197,497,8379,460
2020-06-10 21:00,197,497,8400,460
2020-06-10 22:00,197,497,8416,460
2020-06-10 23:00,197,497,8418,460
2020-06-11 00:00,197,497,8424,460
2020-06-11 01:00,197,497,8431,460
2020-06-11 03:00,197,497,8433,460
2020-06-11 04:00,197,497,8434,460
2020-06-11 06:00,197,497,8437,460
2020-06-11 07:00,197,497,8443,460
2020-06-11 08:00,197,497,8469,460
2020-06-11 09:00,197,497,8492,460
2020-06-11 10:00,197,497,8518,460
2020-06-11 11:00,197,497,8544,460
2020-06-11 12:00,197,497,8572,460
2020-06-11 13:00,197,497,8594,460
2020-06-11 14:00,197,497,8625,460
2020-06-11 15:00,197,497,8664,460
2020-06-11 16:00,197,497,8704,460
2020-06-11 17:00,197,497,8760,460
2020-06-11 18:00,197,497,8818,460
2020-06-11 19:00,197,497,8910,460
2020-06-11 20:00,197,497,8971,460
2020-06-11 21:00,197,497,9001,460
2020-06-11 22:00,197,497,9040,460
2020-06-11 23:00,197,497,9074,460
2020-06-12 00:00,197,497,9095,460
2020-06-12 01:00,197,497,9104,460
2020-06-12 02:00,197,497,9113,460
2020-06-12 03:00,197,497,9118,460
2020-06-12 04:00,197,497,9120,460
2020-06-12 05:00,197,497,9120,460
2020-06-12 06:00,197,497,9121,460
2020-06-12 07:00,197,497,9131,460
