time,cyklisté,chodci
Lidická A,,do centra,z centra
2020-06-03 18:00,4855,12634,14012,10700
2020-06-03 19:00,4855,12634,14077,10700
2020-06-03 20:00,4855,12634,14131,10700
2020-06-03 21:00,4855,12634,14174,10700
2020-06-03 22:00,4855,12634,14204,10700
2020-06-03 23:00,4855,12634,14229,10700
2020-06-04 00:00,4855,12634,14242,10700
2020-06-04 01:00,4855,12634,14245,10700
2020-06-04 02:00,4855,12634,14246,10700
2020-06-04 03:00,4855,12634,14252,10700
2020-06-04 04:00,4855,12634,14255,10700
2020-06-04 05:00,4855,12634,14256,10700
2020-06-04 06:00,4855,12634,14260,10700
2020-06-04 07:00,4855,12634,14284,10700
2020-06-04 08:00,4855,12634,14322,10700
2020-06-04 09:00,4855,12634,14369,10700
2020-06-04 10:00,4855,12634,14401,10700
2020-06-04 11:00,4855,12634,14449,10700
2020-06-04 12:00,4855,12634,14485,10700
2020-06-04 13:00,4855,12634,14507,10700
2020-06-04 14:00,4855,12634,14536,10700
2020-06-04 15:00,4855,12634,14570,10700
2020-06-04 16:00,4855,12634,14609,10700
2020-06-04 17:00,4855,12634,14662,10700
2020-06-04 18:00,4855,12634,14713,10700
2020-06-04 19:00,4855,12634,14773,10700
2020-06-04 20:00,4855,12634,14812,10700
2020-06-04 21:00,4855,12634,14856,10700
2020-06-04 22:00,4855,12634,14878,10700
2020-06-04 23:00,4855,12634,14892,10700
2020-06-05 00:00,4855,12634,14902,10700
2020-06-05 01:00,4855,12634,14915,10700
2020-06-05 02:00,4855,12634,14918,10700
2020-06-05 03:00,4855,12634,14919,10700
2020-06-05 04:00,4855,12634,14920,10700
2020-06-05 05:00,4855,12634,14920,10700
2020-06-05 06:00,4855,12634,14921,10700
2020-06-05 07:00,4855,12634,14929,10700
2020-06-05 08:00,4855,12634,14953,10700
2020-06-05 09:00,4855,12634,14968,10700
2020-06-05 10:00,4855,12634,14984,10700
2020-06-05 11:00,4855,12634,15000,10700
2020-06-05 12:00,4855,12634,15015,10700
2020-06-05 13:00,4855,12634,15024,10700
2020-06-05 14:00,4855,12634,15036,10700
2020-06-05 15:00,4855,12634,15050,10700
2020-06-05 16:00,4855,12634,15074,10700
2020-06-05 17:00,4855,12634,15092,10700
2020-06-05 18:00,4855,12634,15112,10700
2020-06-05 19:00,4855,12634,15123,10700
2020-06-05 20:00,4855,12634,15135,10700
2020-06-05 21:00,4855,12634,15146,10700
2020-06-05 22:00,4855,12634,15157,10700
2020-06-05 23:00,4855,12634,15163,10700
2020-06-06 00:00,4855,12634,15169,10700
2020-06-06 01:00,4855,12634,15173,10700
2020-06-06 02:00,4855,12634,15180,10700
2020-06-06 03:00,4855,12634,15182,10700
2020-06-06 04:00,4855,12634,15184,10700
2020-06-06 05:00,4855,12634,15186,10700
2020-06-06 06:00,4855,12634,15187,10700
2020-06-06 07:00,4855,12634,15190,10700
2020-06-06 08:00,4855,12634,15198,10700
2020-06-06 09:00,4855,12634,15211,10700
2020-06-06 10:00,4855,12634,15234,10700
2020-06-06 11:00,4855,12634,15260,10700
2020-06-06 12:00,4855,12634,15286,10700
2020-06-06 13:00,4855,12634,15307,10700
2020-06-06 14:00,4855,12634,15323,10700
2020-06-06 15:00,4855,12634,15342,10700
2020-06-06 16:00,4855,12634,15372,10700
2020-06-06 17:00,4855,12634,15388,10700
2020-06-06 18:00,4855,12634,15409,10700
2020-06-06 19:00,4855,12634,15423,10700
2020-06-06 20:00,4855,12634,15437,10700
2020-06-06 21:00,4855,12634,15451,10700
2020-06-06 22:00,4855,12634,15459,10700
2020-06-06 23:00,4855,12634,15464,10700
2020-06-07 00:00,4855,12634,15467,10700
2020-06-07 01:00,4855,12634,15471,10700
2020-06-07 02:00,4855,12634,15474,10700
2020-06-07 03:00,4855,12634,15476,10700
2020-06-07 11:00,4855,12634,15504,10700
2020-06-07 12:00,4855,12634,15513,10700
2020-06-07 13:00,4855,12634,15527,10700
2020-06-07 14:00,4855,12634,15543,10700
2020-06-07 15:00,4855,12634,15565,10700
2020-06-07 16:00,4855,12634,15582,10700
2020-06-07 17:00,4855,12634,15595,10700
2020-06-07 18:00,4855,12634,15607,10700
2020-06-07 19:00,4855,12634,15622,10700
2020-06-07 20:00,4855,12634,15637,10700
2020-06-07 21:00,4855,12634,15653,10700
2020-06-07 22:00,4855,12634,15661,10700
2020-06-07 23:00,4855,12634,15668,10700
2020-06-08 00:00,4855,12634,15672,10700
2020-06-08 01:00,4855,12634,15674,10700
2020-06-08 02:00,4855,12634,15676,10700
2020-06-08 03:00,4855,12634,15678,10700
2020-06-08 04:00,4855,12634,15680,10700
2020-06-08 05:00,4855,12634,15681,10700
2020-06-08 06:00,4855,12634,15684,10700
2020-06-08 07:00,4855,12634,15707,10700
2020-06-08 08:00,4855,12634,15737,10700
2020-06-08 09:00,4855,12634,15777,10700
2020-06-08 10:00,4855,12634,15806,10700
2020-06-08 11:00,4855,12634,15837,10700
2020-06-08 12:00,4855,12634,15869,10700
2020-06-08 13:00,4855,12634,15880,10700
2020-06-08 14:00,4855,12634,15908,10700
2020-06-08 15:00,4855,12634,15934,10700
2020-06-08 16:00,4855,12634,15961,10700
2020-06-08 17:00,4855,12634,16001,10700
2020-06-08 18:00,4855,12634,16029,10700
2020-06-08 19:00,4855,12634,16068,10700
2020-06-08 20:00,4855,12634,16093,10700
2020-06-08 21:00,4855,12634,16114,10700
2020-06-08 22:00,4855,12634,16126,10700
2020-06-08 23:00,4855,12634,16140,10700
2020-06-09 00:00,4855,12634,16146,10700
2020-06-09 01:00,4855,12634,16149,10700
2020-06-09 02:00,4855,12634,16153,10700
2020-06-09 03:00,4855,12634,16154,10700
2020-06-09 04:00,4855,12634,16158,10700
2020-06-09 05:00,4855,12634,16158,10700
2020-06-09 06:00,4855,12634,16161,10700
2020-06-09 07:00,4855,12634,16187,10700
2020-06-09 08:00,4855,12634,16235,10700
2020-06-09 09:00,4855,12634,16283,10700
2020-06-09 10:00,4855,12634,16326,10700
2020-06-09 11:00,4855,12634,16364,10700
2020-06-09 12:00,4855,12634,16389,10700
2020-06-09 13:00,4855,12634,16410,10700
2020-06-09 14:00,4855,12634,16434,10700
2020-06-09 15:00,4855,12634,16456,10700
2020-06-09 16:00,4855,12634,16495,10700
2020-06-09 17:00,4855,12634,16542,10700
2020-06-09 18:00,4855,12634,16605,10700
2020-06-09 19:00,4855,12634,16658,10700
2020-06-09 20:00,4855,12634,16690,10700
2020-06-09 21:00,4855,12634,16722,10700
2020-06-09 22:00,4855,12634,16744,10700
2020-06-09 23:00,4855,12634,16758,10700
2020-06-10 00:00,4855,12634,16762,10700
2020-06-10 01:00,4855,12634,16771,10700
2020-06-10 02:00,4855,12634,16773,10700
2020-06-10 03:00,4855,12634,16775,10700
