time,cyklisté,chodci
Kounicova B,,do centra,z centra
2020-06-03 18:00,5827,8774,8012,8027
2020-06-03 19:00,5827,8774,8054,8027
2020-06-03 20:00,5827,8774,8091,8027
2020-06-03 21:00,5827,8774,8115,8027
2020-06-03 22:00,5827,8774,8132,8027
2020-06-03 23:00,5827,8774,8142,8027
2020-06-04 00:00,5827,8774,8145,8027
2020-06-04 01:00,5827,8774,8146,8027
2020-06-04 02:00,5827,8774,8151,8027
2020-06-04 03:00,5827,8774,8151,8027
2020-06-04 04:00,5827,8774,8151,8027
2020-06-04 05:00,5827,8774,8151,8027
2020-06-04 06:00,5827,8774,8152,8027
2020-06-04 07:00,5827,8774,8160,8027
2020-06-04 08:00,5827,8774,8181,8027
2020-06-04 09:00,5827,8774,8212,8027
2020-06-04 10:00,5827,8774,8257,8027
2020-06-04 11:00,5827,8774,8289,8027
2020-06-04 12:00,5827,8774,8316,8027
2020-06-04 13:00,5827,8774,8344,8027
2020-06-04 14:00,5827,8774,8365,8027
2020-06-04 15:00,5827,8774,8401,8027
2020-06-04 16:00,5827,8774,8431,8027
2020-06-04 17:00,5827,8774,8477,8027
2020-06-04 18:00,5827,8774,8515,8027
2020-06-04 19:00,5827,8774,8550,8027
2020-06-04 20:00,5827,8774,8576,8027
2020-06-04 21:00,5827,8774,8611,8027
2020-06-04 22:00,5827,8774,8626,8027
2020-06-04 23:00,5827,8774,8633,8027
2020-06-05 00:00,5827,8774,8635,8027
2020-06-05 01:00,5827,8774,8640,8027
2020-06-05 02:00,5827,8774,8640,8027
2020-06-05 03:00,5827,8774,8640,8027
2020-06-05 04:00,5827,8774,8642,8027
2020-06-05 05:00,5827,8774,8643,8027
2020-06-05 06:00,5827,8774,8645,8027
2020-06-05 07:00,5827,8774,8651,8027
2020-06-05 08:00,5827,8774,8660,8027
2020-06-05 09:00,5827,8774,8670,8027
2020-06-05 10:00,5827,8774,8676,8027
2020-06-05 11:00,5827,8774,8684,8027
2020-06-05 12:00,5827,8774,8689,8027
2020-06-05 13:00,5827,8774,8694,8027
2020-06-05 14:00,5827,8774,8699,8027
2020-06-05 15:00,5827,8774,8711,8027
2020-06-05 16:00,5827,8774,8720,8027
2020-06-05 17:00,5827,8774,8729,8027
2020-06-05 18:00,5827,8774,8737,8027
2020-06-05 19:00,5827,8774,8753,8027
2020-06-05 20:00,5827,8774,8764,8027
2020-06-05 21:00,5827,8774,8769,8027
2020-06-05 22:00,5827,8774,8783,8027
2020-06-05 23:00,5827,8774,8787,8027
2020-06-06 00:00,5827,8774,8787,8027
2020-06-06 01:00,5827,8774,8788,8027
2020-06-06 02:00,5827,8774,8788,8027
2020-06-06 03:00,5827,8774,8788,8027
2020-06-06 04:00,5827,8774,8788,8027
2020-06-06 05:00,5827,8774,8788,8027
2020-06-06 06:00,5827,8774,8789,8027
2020-06-06 07:00,5827,8774,8793,8027
2020-06-06 08:00,5827,8774,8794,8027
2020-06-06 09:00,5827,8774,8802,8027
2020-06-06 10:00,5827,8774,8815,8027
2020-06-06 11:00,5827,8774,8829,8027
2020-06-06 12:00,5827,8774,8845,8027
2020-06-06 13:00,5827,8774,8862,8027
2020-06-06 14:00,5827,8774,8869,8027
2020-06-06 15:00,5827,8774,8883,8027
2020-06-06 16:00,5827,8774,8889,8027
2020-06-06 17:00,5827,8774,8903,8027
2020-06-06 18:00,5827,8774,8913,8027
