time,cyklisté,chodci
Renneska 2,,Renneska,Heršpická
2020-07-05 23:00,23542,14733,13368,14033
2020-07-06 00:00,23542,14733,13368,14033
2020-07-06 01:00,23542,14733,13368,14033
2020-07-06 02:00,23542,14733,13368,14033
2020-07-06 03:00,23542,14733,13368,14033
2020-07-06 04:00,23542,14733,13368,14033
2020-07-06 05:00,23542,14733,13368,14033
2020-07-06 06:00,23542,14733,13368,14033
2020-07-06 07:00,23542,14733,13368,14033
2020-07-06 08:00,23542,14733,13368,14033
2020-07-06 09:00,23542,14733,13368,14033
2020-07-06 10:00,23542,14733,13368,14033
2020-07-06 11:00,23542,14733,13368,14033
2020-07-06 12:00,23542,14733,13368,14033
2020-07-06 13:00,23542,14733,13368,14033
2020-07-06 14:00,23542,14733,13368,14033
2020-07-06 15:00,23542,14733,13368,14033
2020-07-06 16:00,23542,14733,13368,14033
2020-07-06 17:00,23542,14733,13368,14033
2020-07-06 18:00,23542,14733,13368,14033
2020-07-06 19:00,23542,14733,13368,14033
2020-07-06 20:00,23542,14733,13368,14033
2020-07-06 21:00,23542,14733,13368,14033
2020-07-06 22:00,23542,14733,13368,14033
2020-07-06 23:00,23542,14733,13368,14033
2020-07-07 00:00,23542,14733,13368,14033
2020-07-07 01:00,23542,14733,13368,14033
2020-07-07 03:00,23542,14733,13368,14033
2020-07-07 04:00,23542,14733,13368,14033
2020-07-07 05:00,23542,14733,13368,14033
2020-07-07 06:00,23542,14733,13368,14033
2020-07-07 07:00,23542,14733,13368,14033
2020-07-07 08:00,23542,14733,13368,14033
2020-07-07 09:00,23542,14733,13368,14033
2020-07-07 10:00,23565,14754,13381,14035
